Reference, Value, Footprint, Datasheet, Vend1, Vend1Id, RefPrice1k, MfrId, MfgId, Description
CON5,USB-B,Connect:USB_B,http://productfinder.pulseeng.com/products/datasheets/E8144-B02022-L.PDF,Digikey,553-2272-ND,0.28,Pulse,E8144-B02022-L,
FB2,Ferrite bead,Resistors_SMD:R_0805,http://www.samsungsem.com/kr/front/downloadcms.do?path=/kr/support/product-search/bead/__icsFiles/afieldfile/2014/11/13&fileName=S_CIS21J121NE.pdf,Digikey,1276-6370-1-ND,0.02383,Samsung,CIS21P300NE,
FB1,Ferrite bead,Resistors_SMD:R_0805,http://www.samsungsem.com/kr/front/downloadcms.do?path=/kr/support/product-search/bead/__icsFiles/afieldfile/2014/11/13&fileName=S_CIS21J121NE.pdf,Digikey,1276-6370-1-ND,0.02383,Samsung,CIS21P300NE,
R4,4.7k,Resistors_SMD:R_0805,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Digikey,RMCF0805JT4K70CT-ND,0.0032,Stackpole,RMCF0805JT4K70,
R5,10k,Resistors_SMD:R_0805,http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Digikey,RMCF0805JT10K0CT-ND,0.0032,Stackpole,RMCF0805JT10K0,
U2,FT2232H,Housings_QFP:LQFP-64_10x10mm_Pitch0.5mm,http://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT2232H.pdf,Digikey,768-1024-1-ND,3.70,FTDI,FT2232HL-REEL,
R10,12k 1%,Resistors_SMD:R_0805,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Digikey,RMCF0805FT12K0TR-ND,0.0032,Stackpole,RMCF0805FT12K0,
R7,4.7k,Resistors_SMD:R_0805,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Digikey,RMCF0805JT4K70CT-ND,0.0032,Stackpole,RMCF0805JT4K70,
D1,TVS DIODE 5.5VWM,TO_SOT_Packages_SMD:SC-70-6,http://www.nxp.com/documents/data_sheet/PRTR5V0U4Y.pdf,Digikey,568-6542-1-ND,0.13228,NXP,PRTR5V0U4Y,
FB3,Ferrite bead,Resistors_SMD:R_0805,http://www.samsungsem.com/kr/front/downloadcms.do?path=/kr/support/product-search/bead/__icsFiles/afieldfile/2014/11/13&fileName=S_CIS21J121NE.pdf,Digikey,1276-6370-1-ND,0.02383,Samsung,CIS21P300NE,
U1,93C56,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,http://www.onsemi.com/pub_link/Collateral/CAT93C56-D.PDF,Digikey,CAT93C56VI-GT3OSCT-ND,0.14893,ON Semi,CAT93C56VI-GT3,
R1,10k,Resistors_SMD:R_0805,http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Digikey,RMCF0805JT10K0CT-ND,0.0032,Stackpole,RMCF0805JT10K0,
R2,10k,Resistors_SMD:R_0805,http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Digikey,RMCF0805JT10K0CT-ND,0.0032,Stackpole,RMCF0805JT10K0,
R3,10k,Resistors_SMD:R_0805,http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Digikey,RMCF0805JT10K0CT-ND,0.0032,Stackpole,RMCF0805JT10K0,
R6,2.2k,Resistors_SMD:R_0805,http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Digikey,RMCF0805JT2K20CT-ND,0.0032,Stackpole,RMCF0805JT2K20CT,
C2,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
X2,12 MHz,Crystals:Crystal_HC49-SD_SMD,http://www.abracon.com/Resonators/abls.pdf,Digikey,535-10218-1-ND,0.172,Abracon,ABLS-12.000MHZ-B4-T,
C12,20pF,Capacitors_SMD:C_0805,http://www.samsungsem.com/kr/support/product-search/mlcc/CL21C200JBANNNC.jsp,Digikey,1276-1829-1-ND,0.01485,Samsung,CL21C200JBANNNC,
R8,10,Resistors_SMD:R_0805,http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Digikey,RMCF0805JT10R0CT-ND,0.0032,Stackpole,RMCF0805JT10R0CT,
R9,10,Resistors_SMD:R_0805,http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Digikey,RMCF0805JT10R0CT-ND,0.0032,Stackpole,RMCF0805JT10R0CT,
C3,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
C4,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
C5,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
C7,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
C9,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
C11,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
C6,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
C1,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
C13,10uF ,Capacitors_SMD:C_1206,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,Digikey,490-10756-2-ND,0.07429,Murata,GRM31CR61H106MA12L,
C15,10uF ,Capacitors_SMD:C_1206,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,Digikey,490-10756-2-ND,0.07429,Murata,GRM31CR61H106MA12L,
C8,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
C10,10uF ,Capacitors_SMD:C_1206,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,Digikey,490-10756-2-ND,0.07429,Murata,GRM31CR61H106MA12L,
FB4,Ferrite bead,Resistors_SMD:R_0805,http://www.samsungsem.com/kr/front/downloadcms.do?path=/kr/support/product-search/bead/__icsFiles/afieldfile/2014/11/13&fileName=S_CIS21J121NE.pdf,Digikey,1276-6370-1-ND,0.02383,Samsung,CIS21P300NE,
C14,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
C17,10uF ,Capacitors_SMD:C_1206,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,Digikey,490-10756-2-ND,0.07429,Murata,GRM31CR61H106MA12L,
C16,20pF,Capacitors_SMD:C_0805,http://www.samsungsem.com/kr/support/product-search/mlcc/CL21C200JBANNNC.jsp,Digikey,1276-1829-1-ND,0.01485,Samsung,CL21C200JBANNNC,
U6,SN75176B,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,http://www.ti.com/lit/ds/symlink/sn65176b.pdf,Digikey,296-1275-1-ND,0.330,Texas Instruments,SN75176BDR,
T1,10/100baseT transformer,Housings_SOIC:SOIC-16_7.5x10.3mm_Pitch1.27mm,http://www.mouser.com/ds/2/54/PT61018PEL-336005.pdf,Mouser,652-PT61018PEL,0.78,Bourns,PT61018PEL,
U4,NC7WZ14,TO_SOT_Packages_SMD:SC-70-6,http://www.fairchildsemi.com/datasheets/NC/NC7WZ14.pdf,Digikey,NC7WZ14P6XCT-ND,0.07631,Fairchild,NC7WZ14P6X,
R14,1M,Resistors_SMD:R_0805,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Digikey,RMCF0805JT1M00CT-ND,0.0032,Stackpole,RMCF0805JT1M00,
C22,1nF,Capacitors_SMD:C_0805,http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM216R71H102KA01-01.pdf,Digikey,490-9741-1-ND,0.0156,Murata,GRM216R71H102KA01D,
D3,BAT54 2x common cathode,TO_SOT_Packages_SMD:SOT-23,http://www.diodes.com/_files/datasheets/ds11005.pdf,Digikey,BAT54C-FDICT-ND,.03955,Diodes Inc,BAT54C-7-F,
Q1,IRFML8244,TO_SOT_Packages_SMD:SOT-23,http://www.irf.com/product-info/datasheets/data/irfml8244pbf.pdf,Digikey,IRFML8244TRPBFCT-ND,0.1046,Infineon,IRFML8244TRPBF,
Q2,IRFML8244,TO_SOT_Packages_SMD:SOT-23,http://www.irf.com/product-info/datasheets/data/irfml8244pbf.pdf,Digikey,IRFML8244TRPBFCT-ND,0.1046,Infineon,IRFML8244TRPBF,
CON6,XLR-3 Female,Connect:XLR3MC,http://www.neutrik.us/en-us/xlr/aa-series/nc3faah2-0,Mouser,568-NC3FAAH-2-O,0.653,Neutrik,NC3FAAH2-0,
U3,NC7WZ14,TO_SOT_Packages_SMD:SC-70-6,http://www.fairchildsemi.com/datasheets/NC/NC7WZ14.pdf,Digikey,NC7WZ14P6XCT-ND,0.07631,Fairchild,NC7WZ14P6X,
U5,NC7WZ14,TO_SOT_Packages_SMD:SC-70-6,http://www.fairchildsemi.com/datasheets/NC/NC7WZ14.pdf,Digikey,NC7WZ14P6XCT-ND,0.07631,Fairchild,NC7WZ14P6X,
R13,150,Resistors_SMD:R_0805,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Digikey,RMCF0805JT150RCT-ND,0.0032,Stackpole,RMCF0805JT150R,
R11,4.7k,Resistors_SMD:R_0805,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Digikey,RMCF0805JT4K70CT-ND,0.0032,Stackpole,RMCF0805JT4K70,
R12,4.7k,Resistors_SMD:R_0805,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Digikey,RMCF0805JT4K70CT-ND,0.0032,Stackpole,RMCF0805JT4K70,
C20,10uF ,Capacitors_SMD:C_1206,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,Digikey,490-10756-2-ND,0.07429,Murata,GRM31CR61H106MA12L,
C18,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
C19,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
C28,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
C27,10uF ,Capacitors_SMD:C_1206,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,Digikey,490-10756-2-ND,0.07429,Murata,GRM31CR61H106MA12L,
C21,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
C26,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
C24,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
C25,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
C23,1nF,Capacitors_SMD:C_0805,http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM216R71H102KA01-01.pdf,Digikey,490-9741-1-ND,0.0156,Murata,GRM216R71H102KA01D,
D2,BAT54 2x common cathode,TO_SOT_Packages_SMD:SOT-23,http://www.diodes.com/_files/datasheets/ds11005.pdf,Digikey,BAT54C-FDICT-ND,.03955,Diodes Inc,BAT54C-7-F,
C29,1nF,Capacitors_ThroughHole:C_Rect_L13_W4_P10,http://en.tdk.eu/inf/20/20/db/fc_2009/Y2_B32021_026.pdf,Digikey,495-4962-1-ND,0.30944,B32021A3102M189,EPCOS (TDK),
D4,8.5VWM,TO_SOT_Packages_SMD:SOT-23,http://www.onsemi.com/pub_link/Collateral/MMBZ5V6ALT1-D.PDF,Digikey,MMBZ12VALT1GOSCT-ND,.04471,ON Semi,MMBZ12VALT1G,
MOD1,2.54mm 2x10 right angle female header,Socket_Strips:Socket_Strip_Angled_2x10_Mirror,http://www.centronic.url.tw/pf/p29.pdf,eBay,http://www.ebay.com/itm/20pcs-2-54mm-pitch-2x10Pin-Header-Right-Angle-Female-Double-Row-Socket-Connector-/271560108036,0.275,Centronic,230-20,
MOD2,2.54mm 2x10 right angle female header,Socket_Strips:Socket_Strip_Angled_2x10_Mirror,http://www.centronic.url.tw/pf/p29.pdf,eBay,http://www.ebay.com/itm/20pcs-2-54mm-pitch-2x10Pin-Header-Right-Angle-Female-Double-Row-Socket-Connector-/271560108036,0.275,Centronic,230-20,
MOD3,2.54mm 2x10 right angle female header,Socket_Strips:Socket_Strip_Angled_2x10_Mirror,http://www.centronic.url.tw/pf/p29.pdf,eBay,http://www.ebay.com/itm/20pcs-2-54mm-pitch-2x10Pin-Header-Right-Angle-Female-Double-Row-Socket-Connector-/271560108036,0.275,Centronic,230-20,
MOD4,2.54mm 2x10 right angle female header,Socket_Strips:Socket_Strip_Angled_2x10_Mirror,http://www.centronic.url.tw/pf/p29.pdf,eBay,http://www.ebay.com/itm/20pcs-2-54mm-pitch-2x10Pin-Header-Right-Angle-Female-Double-Row-Socket-Connector-/271560108036,0.275,Centronic,230-20,
MOD5,2.54mm 2x10 right angle female header,Socket_Strips:Socket_Strip_Angled_2x10_Mirror,http://www.centronic.url.tw/pf/p29.pdf,eBay,http://www.ebay.com/itm/20pcs-2-54mm-pitch-2x10Pin-Header-Right-Angle-Female-Double-Row-Socket-Connector-/271560108036,0.275,Centronic,230-20,
MOD6,2.54mm 2x10 right angle female header,Socket_Strips:Socket_Strip_Angled_2x10_Mirror,http://www.centronic.url.tw/pf/p29.pdf,eBay,http://www.ebay.com/itm/20pcs-2-54mm-pitch-2x10Pin-Header-Right-Angle-Female-Double-Row-Socket-Connector-/271560108036,0.275,Centronic,230-20,
MOD7,2.54mm 2x10 right angle female header,Socket_Strips:Socket_Strip_Angled_2x10_Mirror,http://www.centronic.url.tw/pf/p29.pdf,eBay,http://www.ebay.com/itm/20pcs-2-54mm-pitch-2x10Pin-Header-Right-Angle-Female-Double-Row-Socket-Connector-/271560108036,0.275,Centronic,230-20,
U7,iCE40-HX1K-TQ144,Housings_QFP:TQFP-144_20x20mm_Pitch0.5mm,http://www.latticesemi.com/~/media/LatticeSemi/Documents/DataSheets/iCE/iCE40LPHXFamilyDataSheet.pdf,Digikey,220-1565-ND,4.5703,Lattice,ICE40HX1K-TQ144,
R16,10k,Resistors_SMD:R_0805,http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Digikey,RMCF0805JT10K0CT-ND,0.0032,Stackpole,RMCF0805JT10K0,
R15,150,Resistors_SMD:R_0805,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Digikey,RMCF0805JT150RCT-ND,0.0032,Stackpole,RMCF0805JT150R,
R17,10k,Resistors_SMD:R_0805,http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Digikey,RMCF0805JT10K0CT-ND,0.0032,Stackpole,RMCF0805JT10K0,
R19,10k,Resistors_SMD:R_0805,http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Digikey,RMCF0805JT10K0CT-ND,0.0032,Stackpole,RMCF0805JT10K0,
R18,10k,Resistors_SMD:R_0805,http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Digikey,RMCF0805JT10K0CT-ND,0.0032,Stackpole,RMCF0805JT10K0,
C31,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
C35,10uF ,Capacitors_SMD:C_1206,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,Digikey,490-10756-2-ND,0.07429,Murata,GRM31CR61H106MA12L,
C33,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
C37,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
C39,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
C41,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
C42,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
C44,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
C45,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
C46,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
C47,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
C40,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
C38,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
